alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1739742184.5317,elite,1980.5640447213,1696983860.3329,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Chicago,"North America",NA,"United States",US,,false,"Cox Communications Inc.",41.8781,-87.6298,false,"Cox Communications",true,Illinois,success,America/Chicago,60666,1739317215,1739742184.5317,4145,socks4,socks4://184.181.217.210:4145,true,762.44711875916,122703,262178,31.880763144972,184.181.217.210
true,1739742184.53,elite,10308.70209381,1720586310.5612,"AS19871 Network Solutions, LLC",NETWORK-SOLUTIONS-HOSTING,Jacksonville,"North America",NA,"United States",US,Deerwood,true,"Network Solutions, LLC",30.2493,-81.5268,false,"Network Solutions, LLC",true,Florida,success,America/New_York,32256,1739675870,1739742184.53,8443,socks4,socks4://205.178.137.169:8443,true,778.50222587585,253,46305,0.54340822200266,205.178.137.169
true,1739742184.5293,elite,9953.6293330622,1722499921.6756,"AS23969 TOT Public Company Limited",TOT-NET,"Khwaeng Thung Song Hong",Asia,AS,Thailand,TH,,false,"TOT Public Company Limited",13.8983,100.582,false,"TOT Public Company Limited",false,Bangkok,success,Asia/Bangkok,10210,1739317620,1739742184.5293,8080,socks4,socks4://118.174.171.95:8080,true,772.77517318726,233,48676,0.47639493753706,118.174.171.95
true,1739742184.5285,elite,10348.438097585,1721884718.2601,"AS4618 Internet Thailand Company Limited",INET-TH-AS,Bangkok,Asia,AS,Thailand,TH,,false,"Internet Thailand Company Ltd.",13.7994,100.5337,false,"INEXT Broadband Company Limited",false,Bangkok,success,Asia/Bangkok,10800,1739317385,1739742184.5285,8080,socks4,socks4://203.150.113.165:8080,true,789.29734230042,248,51347,0.48066673127241,203.150.113.165
true,1739742184.5262,elite,9934.2149334046,1718200947.2998,"AS63023 GTHost",AS-GLOBALTELEHOST,Miami,"North America",NA,"United States",US,,true,GTHost,25.7616,-80.1917,false,"Globaltelehost Corp",true,Florida,success,America/New_York,,1739317649,1739742184.5262,48782,socks4,socks4://38.91.107.229:48782,true,782.06753730774,412,72951,0.56159099273476,38.91.107.229
true,1739742061.2167,elite,2094.6223901378,1737846916.7007,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1739317554,1739742184.4875,9903,http,http://72.10.160.170:9903,false,593.73068809509,72,9163,0.7796426637791,72.10.160.170
true,1739721533.3377,elite,1767.6439137623,1738914365.8459,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Xi'an,Asia,AS,China,CN,,false,Chinanet,34.2635,108.9246,false,"Chinanet SN",false,Shaanxi,success,Asia/Shanghai,,1739519182,1739742184.4861,8085,http,http://117.36.76.86:8085,false,873.52871894836,11869,292,97.598881670915,117.36.76.86
true,1739715751.7082,elite,822.58950816827,1710702532.1421,"AS135905 VIETNAM POSTS AND TELECOMMUNICATIONS GROUP",VNPT-AS-VN,Hanoi,Asia,AS,Vietnam,VN,,false,"VietNam Post and Telecom Corporation",21.0278,105.834,false,"Vietnam Posts and Telecommunications Group",true,Hanoi,success,Asia/Bangkok,,1739317408,1739742183.286,7777,http,http://123.30.154.171:7777,false,687.50667572021,355264,70665,83.409206698769,123.30.154.171
true,1739739033.7751,elite,2041.1261397904,1710633947.4062,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Nanjing,Asia,AS,China,CN,,false,Chinanet,32.0607,118.763,false,,true,Jiangsu,success,Asia/Shanghai,210000,1739319870,1739742181.4038,1080,http,http://221.231.13.198:1080,false,859.1480255127,273068,176967,60.677058451009,221.231.13.198
true,1739742136.9155,elite,1717.2414871954,1739714189.3108,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Shanghai,Asia,AS,China,CN,,false,Chinanet,31.2222,121.4581,false,"Chinanet SC",false,Shanghai,success,Asia/Shanghai,,1739714191,1739742181.2613,2324,http,http://118.113.244.246:2324,false,959.01370048523,31,365,7.8282828282828,118.113.244.246
true,1739742181.0179,elite,3916.7982516805,1697179477.2643,"AS136107 PT. Tujuh Ion Indonesia",IDNIC-7ION-AS-ID,Cikarang,Asia,AS,Indonesia,ID,,false,"PT. Tujuh Ion Indonesia",-6.24324,107.089,false,"PT. Tujuh Ion Indonesia",true,"West Java",success,Asia/Jakarta,,1739368317,1739742181.0179,4153,socks4,socks4://103.233.103.241:4153,true,1909.4309806824,10149,270590,3.6151015712103,103.233.103.241
true,1739741937.4398,elite,2786.8047961322,1733837450.2057,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Langfang,Asia,AS,China,CN,,false,Chinanet,39.5208,116.7147,false,"Chinanet HE",false,Hebei,success,Asia/Shanghai,,1739317343,1739742180.9662,8089,http,http://27.189.129.108:8089,false,1291.7251586914,550,49726,1.0939613334394,27.189.129.108
true,1739742127.2556,anonymous,2575.7884741014,1730466072.8032,"AS4230 CLARO S.A.","CLARO S.A.","São Paulo","South America",SA,Brazil,BR,,false,"Claro S.A",-23.5558,-46.6396,false,"Telcabos - Telecomunicações e Informática",true,"São Paulo",success,America/Sao_Paulo,01000-000,1739538807,1739742180.6191,80,http,http://189.22.234.41:80,false,716.51291847229,66067,52979,55.497034759673,189.22.234.41
true,1739738987.335,elite,1298.9705154616,1739715007.0935,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Shaoxing,Asia,AS,China,CN,"Yuecheng Qu",false,Chinanet,29.9983,120.583,false,,false,Zhejiang,success,Asia/Shanghai,312000,1739715008,1739742180.3098,8085,http,http://125.107.125.57:8085,false,1089.4370079041,367,29,92.676767676768,125.107.125.57
true,1739741565.4976,elite,1305.0986801164,1736016985.3613,"AS8075 Microsoft Corporation",MICROSOFT-CORP-MSN-AS-BLOCK,Amsterdam,Europe,EU,Netherlands,NL,,true,"Microsoft Corporation",52.3667,4.9,false,"Microsoft Azure Cloud (westeurope)",true,"North Holland",success,Europe/Amsterdam,1047,1739317423,1739742180.2726,3128,http,http://98.64.128.182:3128,false,1363.3658885956,26600,21220,55.625261396905,98.64.128.182
true,1739730802.2636,elite,318.40357843863,1722396711.3663,"AS19084 ColoUp",COLOUP,Buffalo,"North America",NA,"United States",US,,true,ColoUp,42.8864,-78.8781,false,ColoUp,true,"New York",success,America/New_York,14202,1739332927,1739742180.213,80,http,http://162.223.90.130:80,false,287.03618049622,248054,10309,96.009877575349,162.223.90.130
true,1738353563.0851,elite,348.63526772798,1736135406.2931,"AS19115 Charter Communications",CHARTER-19115-DC,Orlando,"North America",NA,"United States",US,,false,Spectrum,28.5384,-81.3789,false,"Road Runner",true,Florida,success,America/New_York,32802,1739317411,1739742179.7659,443,http,http://98.8.195.160:443,false,325.67882537842,48634,25,99.948622043199,98.8.195.160
true,1739742088.9647,elite,464.29679494109,1721898139.0597,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,"Santa Clara","North America",NA,"United States",US,,true,"DigitalOcean, LLC",37.3931,-121.962,false,"DigitalOcean, LLC",true,California,success,America/Los_Angeles,95054,1739317319,1739742179.2251,80,http,http://165.232.129.150:80,false,369.92907524109,102022,151358,40.264424974347,165.232.129.150
true,1739741432.6122,elite,2260.9751224518,1739116379.7884,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1739152886,1739742179.1596,30267,http,http://67.43.227.226:30267,false,1542.83452034,23,3612,0.63273727647868,67.43.227.226
true,1739742178.9321,elite,2868.8156959858,1738806044.9913,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Hefei,Asia,AS,China,CN,,false,Chinanet,31.8616,117.286,false,"Chinanet AH",false,Anhui,success,Asia/Shanghai,230000,1739414236,1739742178.9321,1080,http,http://223.242.211.179:1080,false,3607.3009967804,94,9903,0.94028208462539,223.242.211.179
true,1739742178.7593,transparent,3686.2397679576,1739692401.27,"AS61173 Green Web Samaneh Novin PJSC",GWSN-AS,Tehran,Asia,AS,Iran,IR,,true,"Green Web Samaneh Novin Co Ltd",35.6824,51.4158,false,Greenweb,false,Tehran,success,Asia/Tehran,,1739692945,1739742178.7593,8080,http,http://185.255.89.170:8080,false,1747.1148967743,54,662,7.5418994413408,185.255.89.170
true,1739742178.5869,elite,4475.0626872676,1738914170.8104,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Zhangyelu,Asia,AS,China,CN,,false,Chinanet,36.0594,103.826,false,"Chinanet GS",false,Gansu,success,Asia/Shanghai,,1739519037,1739742178.5869,8765,http,http://118.180.21.78:8765,false,1021.9054222107,2580,9575,21.225832990539,118.180.21.78
true,1739742177.9624,elite,3863.9809482324,1712384529.2857,"AS11427 Charter Communications Inc",TWC-11427-TEXAS,Lenexa,"North America",NA,"United States",US,,false,Spectrum,38.9524,-94.7395,false,RRWE,true,Kansas,success,America/Chicago,66215,1739599941,1739742177.9624,39593,socks4,socks4://75.81.166.118:39593,true,7896.7642784119,8003,211697,3.642694583523,75.81.166.118
true,1739742177.2343,transparent,5647.2692594098,1736460625.4138,"AS142370 PT Master Star Network",IDNIC-MSN-AS-ID,Curahjati,Asia,AS,Indonesia,ID,,false,"PT Master Star Network",-8.54333,114.251,false,"PT Master Star Network",true,"East Java",success,Asia/Jakarta,,1739485183,1739742177.2343,6080,http,http://103.169.254.45:6080,false,523.00977706909,3058,40550,7.0124747752706,103.169.254.45
